State,State_FIPS,Region,Year,Month,DailywoBoard_final,HourlyComposite_final,MonthlyComposite_final,TotalHiredSeasonal_final,Mexican_final,HiredWorkersonFarms_final,Local_final,Intrastate_final,Interstate_final,TotalForeign_final,Jamaican_final,Bahamian_final,BWIOthers_final,BWI_final,Canadian_final,CanadianOthers_final,PuertoRican_final,OtherForeign_final,TotalAg_final,Nonlocal_final,Farmworkers_Total,Farmworkers_Family,Farmworkers_Hired,Petroleum,Tractors,Cotton_machine,Sugarbeet_machine,Sugarbeet_monogerm,SugarBeets,Cotton,Tomatoes_total,Lettuce,Strawberries_total,Citrus,Cantaloupes,BrusselsSprouts,Asparagus_total,Celery,Cucumbers_pickle,Tomatoes_fresh,Tomatoes_proc,Strawberries_fresh,Strawberries_proc,Asparagus_fresh,Asparagus_proc,TotalHiredSeasonal_dual,TotalHiredSeasonal_HP,TotalAg_dual,TotalAg_HP,Mexican_dual,Mexican_HP,TotalForeign_dual,TotalForeign_HP,TotalDomestic_dual,Local_dual,Local_HP,Intrastate_dual,Intrastate_HP,Interstate_dual,Interstate_HP,Jamaican_dual,Jamaican_HP,Bahamian_dual,Bahamian_HP,BWI_dual,BWI_HP,Canadian_dual,Canadian_HP,PuertoRican_dual,PuertoRican_HP,OtherForeign_dual,OtherForeign_HP,cropland_1954,State_name,pop1950
AL,1,6.0,1963,2.0,,,,,,,,,,,,,,,,,,,,,88,70,18,,,37,,,,885.0,14448.0,,1650.0,,85,,0.0,,,14448.0,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1946,4.0,2.8,,48.1,,,161000.0,,,,485.0,,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,485.0,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1970,11.0,,,,7380.0,,,7325.0,0.0,55.0,0.0,,,,,,,0.0,,,,105,84,21,,,95,,,,507.0,24472.0,,0.0,,,,0.0,,,24472.0,,,,,,7380,,,,,,0,,7380,7325,,0,,55,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1945,1.0,2.6,,45.0,,,159000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1942,10.0,1.65,,30.5,,,447000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1971,3.0,,,,,,,,,,,,,,,,,,,,,65,52,13,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1968,2.0,,,,,,,,,,,,,,,,,,,,,68,55,13,,,84,,,,396.0,25200.0,,1140.0,,72,,0.0,,,25200.0,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1946,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1962,6.0,,,,15805.0,0.0,,14187.0,375.0,1243.0,0.0,,,,0.0,,0,,,,,135,103,32,,,29,,,,695.0,13552.0,,1890.0,,81,,0.0,,,13552.0,,1890,,,,15805,,,,0,,0,,15805,14187,,375,,1243,,,,,,0,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1965,2.0,,,,,,,,,,,,,,,,,,,,,76,64,12,,,73,,,,852.0,14784.0,,1680.0,,80,,0.0,,,14784.0,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1971,2.0,,,,,,,,,,,,,,,,,,,,,59,48,11,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1960,5.0,,,,6340.0,0.0,,5605.0,200.0,535.0,0.0,,,,0.0,,0,0.0,,,,156,127,29,,,8,,,,755.0,12880.0,,1995.0,,,,0.0,,,12880.0,,1995,0,,,6340,,,,0,,0,,6340,5605,,200,,535,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1972,12.0,,,,860.0,,,860.0,0.0,0.0,0.0,,,,,,,0.0,,,,66,55,11,,,99,,,,,,,,,,,,,,,,,,,,860,,,,,,0,,860,860,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1954,6.0,,,,47196.0,0.0,,45771.0,0.0,400.0,0.0,,,0,,,,0.0,,46171.0,,,,,15783391,62526,2,,,,,,,,,,,,,,,,,,,,47196,,46171,,0,,0,,46171,45771,,0,,400,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1969,2.0,,,,,,,,,,,,,,,,,,,,,63,51,12,27840000,75069,88,,,,460.0,27608.0,,0.0,,,,0.0,,,27608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1967,3.0,,,,,,,,,,,,,,,,,,,,,91,71,20,,,81,,,,200.0,18480.0,,1300.0,,78,,0.0,,,18480.0,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1971,5.0,,,,,,,6370.0,115.0,115.0,,,,,,,,0.0,,,,109,85,24,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,6370,,115,,115,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1942,1.0,1.2,,23.25,,,149000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1945,9.0,,,,,,,,,,4145.0,,,,,,,,4145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145,,,,,,,,,,,,,,,,,,,4145.0,,4812000,Alabama,3061743
AL,1,6.0,1959,10.0,4.55,0.566,,22215.0,0.0,418000.0,22120.0,50.0,45.0,0.0,,,,0.0,,0,0.0,,,,283,217,66,19412226,67559,6,,,,717.0,13720.0,,1980.0,,,,0.0,,,13720.0,,1780,200,,,22215,,,,0,,0,,22215,22120,,50,,45,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1965,8.0,,,,1935.0,0.0,,1315.0,0.0,620.0,0.0,,,,0.0,,,0.0,0.0,,,105,84,21,,,73,,,,852.0,14784.0,,1680.0,,80,,0.0,,,14784.0,,1680,,,,1935,,,,0,,0,,1935,1315,,0,,620,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1944,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1945,4.0,2.6,,45.2,,,160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1968,10.0,7.4,0.953,,6850.0,,180000.0,6740.0,35.0,75.0,0.0,,,,,,,0.0,,,,167,136,31,,,84,,,,396.0,25200.0,,1140.0,,72,,0.0,,,25200.0,,1140,,,,6850,,,,,,0,,6850,6740,,35,,75,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1960,4.0,4.5,0.447,,,,115000.0,,,,,,,,,,,,,,,136,112,24,,,8,,,,755.0,12880.0,,1995.0,,,,0.0,,,12880.0,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1943,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1947,4.0,3.05,,51.9,,,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1967,2.0,,,,,,,,,,,,,,,,,,,,,79,63,16,,,81,,,,200.0,18480.0,,1300.0,,78,,0.0,,,18480.0,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1956,11.0,,,,5865.0,0.0,,5865.0,0.0,0.0,0.0,,,0,,,,0.0,,5865.0,,,,,,,3,,,,750.0,17192.0,,1944.0,,,,0.0,,,17192.0,,1750,194,,,5865,,5865,,0,,0,,5865,5865,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1947,1.0,3.2,,53.9,,,152000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1958,4.0,4.35,0.428,,,,131000.0,,,,,,,,,,,,,,,147,118,29,,,1,,,,439.0,14000.0,,2300.0,,,,0.0,,,14000.0,,2050,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1955,9.0,,,,63655.0,0.0,,63354.0,51.0,0.0,0.0,,,0,,,,0.0,,63405.0,,,,,,,2,,,,1045.0,16240.0,,1152.0,,,,0.0,,,16240.0,,1016,136,,,63655,,63405,,0,,0,,63405,63354,,51,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1969,9.0,,,,6520.0,,,6345.0,0.0,175.0,0.0,,,,,,,0.0,,,,141,111,30,27840000,75069,88,,,,460.0,27608.0,,0.0,,,,0.0,,,27608.0,,,,,,6520,,,,,,0,,6520,6345,,0,,175,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1943,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1963,3.0,,,,,,,,,,,,,,,,,,,,,100,78,22,,,37,,,,885.0,14448.0,,1650.0,,85,,0.0,,,14448.0,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1967,5.0,,,,5210.0,,,4230.0,310.0,670.0,0.0,,,,,,,0.0,,,,127,100,27,,,81,,,,200.0,18480.0,,1300.0,,78,,0.0,,,18480.0,,1300,,,,5210,,,,,,0,,5210,4230,,310,,670,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1965,11.0,,,,3965.0,0.0,,3965.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,122,97,25,,,73,,,,852.0,14784.0,,1680.0,,80,,0.0,,,14784.0,,1680,,,,3965,,,,0,,0,,3965,3965,,0,,0,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1954,11.0,,,,,,,,,,,,,,,,,,,,,,,,15783391,62526,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1955,5.0,,,,9732.0,0.0,,9707.0,0.0,0.0,0.0,,,0,,,,0.0,,9707.0,,,,,,,2,,,,1045.0,16240.0,,1152.0,,,,0.0,,,16240.0,,1016,136,,,9732,,9707,,0,,0,,9707,9707,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1945,11.0,,,,,,,,,,360.0,,,,,,,,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,360.0,,4812000,Alabama,3061743
AL,1,6.0,1968,5.0,,,,,,,4598.0,237.0,175.0,,,,,,,,0.0,,,,133,105,28,,,84,,,,396.0,25200.0,,1140.0,,72,,0.0,,,25200.0,,1140,,,,,,,,,,,,5010,4598,,237,,175,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1954,5.0,,,,22519.0,0.0,,20769.0,0.0,700.0,0.0,,,0,,,,0.0,,21469.0,,,,,15783391,62526,2,,,,,,,,,,,,,,,,,,,,22519,,21469,,0,,0,,21469,20769,,0,,700,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1966,3.0,,,,,,,,,,,,,,,,,,,,,85,64,21,,,75,,,,460.0,15456.0,,1625.0,,75,,0.0,,,15456.0,,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,,1960,12.0,,,,,,,,,,,,,,,,,,,,,106,93,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1958,7.0,4.2,0.423,,6565.0,0.0,259000.0,5899.0,101.0,190.0,0.0,,,0,,,,0.0,,6190.0,,111,92,19,,,1,,,,439.0,14000.0,,2300.0,,,,0.0,,,14000.0,,2050,250,,,6565,,6190,,0,,0,,6190,5899,,101,,190,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1968,4.0,7.1,0.712,,,,91000.0,,,,,,,,,,,,,,,108,84,24,,,84,,,,396.0,25200.0,,1140.0,,72,,0.0,,,25200.0,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1972,5.0,,,,,,,5990.0,260.0,350.0,,,,,,,,0.0,,,,105,83,22,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,5990,,260,,350,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,,1961,3.0,,,,,,,,,,,,,,,,,,,,,109,86,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1963,4.0,4.85,0.486,,,,135000.0,,,,,,,,,,,,,,,134,98,36,,,37,,,,885.0,14448.0,,1650.0,,85,,0.0,,,14448.0,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1967,9.0,,,,4270.0,,,4113.0,60.0,97.0,0.0,,,,,,,0.0,,,,151,120,31,,,81,,,,200.0,18480.0,,1300.0,,78,,0.0,,,18480.0,,1300,,,,4270,,,,,,0,,4270,4113,,60,,97,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1971,7.0,9.3,,,,,154000.0,9035.0,50.0,585.0,,,,,,,,0.0,,,,72,55,17,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,9670,9035,,50,,585,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1955,11.0,,,,8556.0,0.0,,8556.0,0.0,0.0,0.0,,,0,,,,0.0,,8556.0,,,,,,,2,,,,1045.0,16240.0,,1152.0,,,,0.0,,,16240.0,,1016,136,,,8556,,8556,,0,,0,,8556,8556,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1971,8.0,,,,6275.0,,,5760.0,0.0,515.0,0.0,,,,,,,0.0,,,,84,64,20,,,97,,,,,,,,,,,,,,,,,,,,6275,,,,,,0,,6275,5760,,0,,515,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1972,11.0,,,,4860.0,,,4860.0,0.0,0.0,0.0,,,,,,,0.0,,,,91,72,19,,,99,,,,,,,,,,,,,,,,,,,,4860,,,,,,0,,4860,4860,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1972,3.0,,,,,,,,,,,,,,,,,,,,,69,54,15,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1947,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1954,4.0,3.8,0.374,,,,169000.0,,,,,,,,,,,,,,,,,,15783391,62526,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1944,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
